,breed,sub_breed
0,affenpinscher,
1,african,
2,airedale,
3,akita,
4,appenzeller,
5,australian,kelpie
6,australian,shepherd
7,bakharwal,indian
8,basenji,
9,beagle,
10,bluetick,
11,borzoi,
12,bouvier,
13,boxer,
14,brabancon,
15,briard,
16,buhund,norwegian
17,bulldog,boston
18,bulldog,english
19,bulldog,french
20,bullterrier,staffordshire
21,cattledog,australian
22,cavapoo,
23,chihuahua,
24,chippiparai,indian
25,chow,
26,clumber,
27,cockapoo,
28,collie,border
29,coonhound,
30,corgi,cardigan
31,cotondetulear,
32,dachshund,
33,dalmatian,
34,dane,great
35,danish,swedish
36,deerhound,scottish
37,dhole,
38,dingo,
39,doberman,
40,elkhound,norwegian
41,entlebucher,
42,eskimo,
43,finnish,lapphund
44,frise,bichon
45,gaddi,indian
46,germanshepherd,
47,greyhound,indian
48,greyhound,italian
49,groenendael,
50,havanese,
51,hound,afghan
52,hound,basset
53,hound,blood
54,hound,english
55,hound,ibizan
56,hound,plott
57,hound,walker
58,husky,
59,keeshond,
60,kelpie,
61,kombai,
62,komondor,
63,kuvasz,
64,labradoodle,
65,labrador,
66,leonberg,
67,lhasa,
68,malamute,
69,malinois,
70,maltese,
71,mastiff,bull
72,mastiff,english
73,mastiff,indian
74,mastiff,tibetan
75,mexicanhairless,
76,mix,
77,mountain,bernese
78,mountain,swiss
79,mudhol,indian
80,newfoundland,
81,otterhound,
82,ovcharka,caucasian
83,papillon,
84,pariah,indian
85,pekinese,
86,pembroke,
87,pinscher,miniature
88,pitbull,
89,pointer,german
90,pointer,germanlonghair
91,pomeranian,
92,poodle,medium
93,poodle,miniature
94,poodle,standard
95,poodle,toy
96,pug,
97,puggle,
98,pyrenees,
99,rajapalayam,indian
100,redbone,
101,retriever,chesapeake
102,retriever,curly
103,retriever,flatcoated
104,retriever,golden
105,ridgeback,rhodesian
106,rottweiler,
107,saluki,
108,samoyed,
109,schipperke,
110,schnauzer,giant
111,schnauzer,miniature
112,segugio,italian
113,setter,english
114,setter,gordon
115,setter,irish
116,sharpei,
117,sheepdog,english
118,sheepdog,indian
119,sheepdog,shetland
120,shiba,
121,shihtzu,
122,spaniel,blenheim
123,spaniel,brittany
124,spaniel,cocker
125,spaniel,irish
126,spaniel,japanese
127,spaniel,sussex
128,spaniel,welsh
129,spitz,indian
130,spitz,japanese
131,springer,english
132,stbernard,
133,terrier,american
134,terrier,australian
135,terrier,bedlington
136,terrier,border
137,terrier,cairn
138,terrier,dandie
139,terrier,fox
140,terrier,irish
141,terrier,kerryblue
142,terrier,lakeland
143,terrier,norfolk
144,terrier,norwich
145,terrier,patterdale
146,terrier,russell
147,terrier,scottish
148,terrier,sealyham
149,terrier,silky
150,terrier,tibetan
151,terrier,toy
152,terrier,welsh
153,terrier,westhighland
154,terrier,wheaten
155,terrier,yorkshire
156,tervuren,
157,vizsla,
158,waterdog,spanish
159,weimaraner,
160,whippet,
161,wolfhound,irish
